,Coord_X,Coord_Y
Taronis,-388.2991438,-173.1861465
Velorn,-411.6454446,-204.9988796
Drakvale,-412.3716182,-209.6647415
Nightshade,-405.2252119,-204.7036526
Moonshadow,-403.1824106,-204.4118238
Ravenscar,-391.2174314,-204.1199951
Moonshadow,-379.1031396,-213.4585154
Windspire,-365.6824149,-181.5032661
Ravenscar,-360.1376685,-220.3130929
Glimmerdell,-355.7568388,-220.7542344
Emberfall,-360.1376685,-208.4974265
Glimmerdell,-329.9367901,-205.4332245
Windspire,-313.2957542,-216.6686317
Mythral,-245.8833106,-246.8729084
Mythral,-226.7685268,-247.4565659
Ravenscar,-236.3988759,-230.8223266
Nightshade,-275.5039298,-236.2211587
Frostholm,-261.6420637,-216.376803
Mistwood,-298.7077145,-220.6117183
Ravenscar,-286.3049922,-173.4813735
Eldoria,-310.0890361,-191.1370135
Emberfall,-282.3653039,-206.1661947
Eldoria,-275.9450712,-206.1593981
Shadowfen,-279.7354468,-199.4507349
Moonshadow,-271.1298967,-172.7518016
Drakvale,-288.6396223,-167.4920874
Emberfall,-218.5973216,-115.2581376
Nightshade,-247.9261119,-123.867086
Windspire,-232.7544147,-139.6258391
Windspire,-251.5739714,-169.1005438
Eldoria,-239.6089923,-185.8806975
Taronis,-272.0053829,-143.7114417
Mistwood,-251.1362283,-148.3807019
Drakvale,-258.5778617,-159.4701948
Nightshade,-242.2388494,-159.1817643
Ravenscar,-221.6649218,-179.3179487
Velorn,-189.4144455,-189.2367283
Shadowfen,-205.0272842,-166.6199994
Eldoria,-183.4015998,-168.0757449
Velorn,-172.7802062,-151.7665801
Shadowfen,-183.8359446,-135.3943221
Sylphwood,-169.2816594,-93.87221989
Drakvale,-176.3082938,-120.2431088
Stormwatch,-196.8199835,-106.7670145
Shadowfen,-186.4690406,-97.29054351
Thornmere,-205.319113,-68.7114504
Mythral,-226.9144412,-76.66273746
Shadowfen,-267.2149371,-100.6168304
Windspire,-264.2719208,-78.07924954
Nightshade,-278.4324122,-65.35202136
Shadowfen,-249.0515854,-89.90611019
Ravenscar,-291.9922547,-94.30656474
Mythral,-279.3011019,-113.244541
Windspire,-268.3575234,-153.3802206
Bramneth,-306.5748245,-158.5601407
Ravenscar,-290.2412821,-146.1067625
Thornmere,-332.4173346,-119.2299907
Ravenscar,-320.8867002,-144.4444119
Drakvale,-335.7035163,-132.9886099
Drakvale,-304.6868058,-121.1828673
Mythral,-324.2461293,-114.6639149
Windspire,-336.1378611,-103.7275033
Sylphwood,-356.6357233,-106.9444163
Nightshade,-347.001976,-89.81431761
Emberfall,-310.7030584,-78.96558892
Mistwood,-324.2461293,-70.69114613
Stormwatch,-317.2793197,-94.30656474
Stormwatch,-333.8711915,-85.12341985
Brightwater,-344.780287,-78.51359439
Bramneth,-398.3638377,-54.45708099
Brightwater,-404.3463273,-86.7707509
Mistwood,-397.9294929,-103.7275033
Mythral,-385.1732469,-98.68380084
Mistwood,-368.7466169,-67.02649661
Stormwatch,-451.1984365,-114.2295701
Frostholm,-436.0131461,-87.20509574
Eldoria,-453.6365391,-96.87617058
Moonshadow,-438.6362066,-112.2362371
Brightwater,-423.7563381,-88.82928853
Ravenscar,-420.254393,-91.73843495
Sylphwood,-415.5851329,-46.93516449
Drakvale,-412.1280432,-78.94793924
Nightshade,-467.8224809,-70.69114613
Starfall,-456.1459322,-68.82097215
Velorn,-443.6406777,-72.8683615
Eldoria,-404.3463273,-64.75366608
Nightshade,-417.0442767,-52.51155592
Ravenscar,-433.6853126,-61.4157314
Glimmerdell,-442.8614288,-47.36950934
Mythral,-452.0671262,-38.66252931
Brightwater,-434.1196574,-44.5307615
Emberfall,-397.495148,-81.40600146
Eldoria,-379.9820241,-54.45708099
Taronis,-383.6785218,-29.74891264
Velorn,-129.1306634,165.6263778
Frostholm,-127.1090053,152.0655086
Frostholm,-148.7043335,173.5098187
Brightwater,-156.5714299,193.3507761
Ravenscar,-145.2146549,254.1970726
Moonshadow,-139.0773827,233.1652676
Glimmerdell,-384.4567318,282.7476529
Bramneth,-373.3604423,284.9140487
Stormwatch,-371.6246431,273.9023105
Shadowfen,-358.5360086,290.0373992
Bramneth,-326.4957112,309.0122413
Windspire,-338.6396165,322.0992957
Moonshadow,-335.0403951,299.3332541
Starfall,-308.3346653,253.4675007
Stormwatch,-306.1493479,264.9494969
Nightshade,-328.8354331,272.045481
Taronis,-311.8496778,231.7296563
Mythral,-327.4483997,250.0628318
Ravenscar,-190.1322373,201.9072632
Mistwood,-165.5805522,206.6458802
Bramneth,-247.5242491,62.68679178
Drakvale,-271.2184791,88.53032539
Nightshade,-274.4362349,78.69855201
Taronis,-205.0272842,221.9325187
Windspire,-183.7967419,234.4986313
Ravenscar,-138.9280701,115.1894671
Taronis,-157.0057747,128.7547744
Stormwatch,-151.74157,92.712424
Mythral,-135.3921889,100.6477398
Drakvale,-161.6941116,75.45896462
Moonshadow,-192.7704763,89.30516391
Taronis,-214.8507433,184.0487344
Mistwood,-219.915228,173.9441636
Emberfall,-189.1604735,172.5247896
Bramneth,-129.6758195,184.9174241
Thornmere,-157.0057747,157.5170485
Shadowfen,-164.0983006,163.2219748
Glimmerdell,-125.3298259,89.30516391
Nightshade,-173.4385796,114.7551223
Frostholm,-173.4385796,62.25010396
Stormwatch,-166.7252336,221.9325187
Stormwatch,-303.9606322,91.02831712
Eldoria,-326.7232754,70.9534848
Moonshadow,-337.4513807,81.94514697
Glimmerdell,-305.2636667,64.16053008
Mythral,-317.3173544,106.1299809
Shadowfen,-263.2539184,129.1891192
Velorn,-254.2074813,172.9591345
Frostholm,-291.2660811,179.7047112
Mythral,-276.5859273,207.3837011
Moonshadow,-251.3687335,236.4684754
Bramneth,-233.5569438,239.751549
Brightwater,-238.9557759,201.9072632
Sylphwood,-251.8030783,211.5205147
Mythral,-270.23345,184.4830792
Emberfall,-243.4145182,184.0487344
Shadowfen,-283.6055761,153.0505377
Mythral,-293.0136554,139.213356
Bramneth,-235.2349592,138.7790112
Bramneth,-231.1525408,149.0446986
Moonshadow,-223.1907851,84.82755046
Emberfall,-243.6115748,105.6956361
Ravenscar,-216.1727787,119.8063996
